Unit Serial No : 240-LV0P465-EU
Integration Time : 113 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:23:29

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
350.0000      	28571.4286    	2057.63647    
350.5000      	28530.6705    	2032.09094    
351.0000      	28490.0285    	2020.09094    
351.5000      	28449.5021    	2033.72729    
352.0000      	28409.0909    	1981.54541    
352.5000      	28368.7943    	1981.27271    
353.0000      	28328.6119    	1946.72729    
353.5000      	28288.5431    	2037.63635    
354.0000      	28248.5876    	1920.36365    
354.5000      	28208.7447    	1897.27271    
355.0000      	28169.0141    	1936.00000    
355.5000      	28129.3952    	1980.00000    
356.0000      	28089.8876    	1801.81824    
356.5000      	28050.4909    	1911.45459    
357.0000      	28011.2045    	1911.18176    
357.5000      	27972.0280    	1933.18176    
358.0000      	27932.9609    	1958.09094    
358.5000      	27894.0028    	2154.27271    
359.0000      	27855.1532    	1934.27271    
359.5000      	27816.4117    	1982.36365    
360.0000      	27777.7778    	1950.63635    
360.5000      	27739.2510    	1963.45459    
361.0000      	27700.8310    	1974.09094    
361.5000      	27662.5173    	2100.09082    
362.0000      	27624.3094    	2005.09094    
362.5000      	27586.2069    	2053.36353    
363.0000      	27548.2094    	2050.45459    
363.5000      	27510.3164    	1914.00000    
364.0000      	27472.5275    	1799.36365    
364.5000      	27434.8422    	1862.27271    
365.0000      	27397.2603    	1950.45459    
365.5000      	27359.7811    	1957.00000    
366.0000      	27322.4044    	2005.00000    
366.5000      	27285.1296    	1972.27271    
367.0000      	27247.9564    	1972.63635    
367.5000      	27210.8844    	2119.45459    
368.0000      	27173.9130    	1961.54541    
368.5000      	27137.0421    	2109.81812    
369.0000      	27100.2710    	1950.09094    
369.5000      	27063.5995    	1938.81824    
370.0000      	27027.0270    	2103.90918    
370.5000      	26990.5533    	1863.90906    
371.0000      	26954.1779    	1995.72729    
371.5000      	26917.9004    	1871.81824    
372.0000      	26881.7204    	1900.54541    
372.5000      	26845.6376    	1998.36365    
373.0000      	26809.6515    	1901.09094    
373.5000      	26773.7617    	1997.90906    
374.0000      	26737.9679    	2117.18188    
374.5000      	26702.2697    	1974.63635    
375.0000      	26666.6667    	1916.00000    
375.5000      	26631.1585    	1968.00000    
376.0000      	26595.7447    	1956.63635    
376.5000      	26560.4250    	1897.72729    
377.0000      	26525.1989    	1970.63635    
377.5000      	26490.0662    	1971.00000    
378.0000      	26455.0265    	1935.36365    
378.5000      	26420.0793    	1942.54541    
379.0000      	26385.2243    	1973.81824    
379.5000      	26350.4611    	1979.36365    
380.0000      	26315.7895    	1901.09094    
380.5000      	26281.2089    	1933.00000    
381.0000      	26246.7192    	1933.72729    
381.5000      	26212.3198    	1900.09094    
382.0000      	26178.0105    	1953.81824    
382.5000      	26143.7908    	2026.45459    
383.0000      	26109.6606    	2023.27271    
383.5000      	26075.6193    	1932.63635    
384.0000      	26041.6667    	2136.18188    
384.5000      	26007.8023    	1951.09094    
385.0000      	25974.0260    	1950.45459    
385.5000      	25940.3372    	1931.63635    
386.0000      	25906.7358    	1858.18176    
386.5000      	25873.2212    	1938.81824    
387.0000      	25839.7933    	1973.72729    
387.5000      	25806.4516    	1921.27271    
388.0000      	25773.1959    	2025.63635    
388.5000      	25740.0257    	1999.36365    
389.0000      	25706.9409    	1953.72729    
389.5000      	25673.9409    	2002.72729    
390.0000      	25641.0256    	1948.54541    
390.5000      	25608.1946    	1938.54541    
391.0000      	25575.4476    	1966.09094    
391.5000      	25542.7842    	2085.45459    
392.0000      	25510.2041    	1906.45459    
392.5000      	25477.7070    	1896.90906    
393.0000      	25445.2926    	2033.81824    
393.5000      	25412.9606    	1928.54541    
394.0000      	25380.7107    	2080.27271    
394.5000      	25348.5425    	1884.18176    
395.0000      	25316.4557    	2010.36365    
395.5000      	25284.4501    	1952.09094    
396.0000      	25252.5253    	2106.90918    
396.5000      	25220.6810    	1970.81824    
397.0000      	25188.9169    	2023.81824    
397.5000      	25157.2327    	2006.27271    
398.0000      	25125.6281    	1998.81824    
398.5000      	25094.1029    	1933.72729    
399.0000      	25062.6566    	2031.36365    
