Unit Serial No : 240-LV0P465-EU
Integration Time : 249 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:28:53

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
350.0000      	28571.4286    	2862.81812    
350.5000      	28530.6705    	2822.72729    
351.0000      	28490.0285    	2773.54541    
351.5000      	28449.5021    	2836.63647    
352.0000      	28409.0909    	2679.09082    
352.5000      	28368.7943    	2697.81812    
353.0000      	28328.6119    	2583.81812    
353.5000      	28288.5431    	2785.81812    
354.0000      	28248.5876    	2455.00000    
354.5000      	28208.7447    	2452.36353    
355.0000      	28169.0141    	2598.00000    
355.5000      	28129.3952    	2690.09082    
356.0000      	28089.8876    	2297.81812    
356.5000      	28050.4909    	2537.72729    
357.0000      	28011.2045    	2464.54541    
357.5000      	27972.0280    	2538.09082    
358.0000      	27932.9609    	2554.09082    
358.5000      	27894.0028    	3120.90918    
359.0000      	27855.1532    	2602.18188    
359.5000      	27816.4117    	2694.09082    
360.0000      	27777.7778    	2575.45459    
360.5000      	27739.2510    	2684.54541    
361.0000      	27700.8310    	2655.45459    
361.5000      	27662.5173    	2931.81812    
362.0000      	27624.3094    	2689.18188    
362.5000      	27586.2069    	2857.27271    
363.0000      	27548.2094    	2872.09082    
363.5000      	27510.3164    	2491.18188    
364.0000      	27472.5275    	2248.63647    
364.5000      	27434.8422    	2420.90918    
365.0000      	27397.2603    	2568.36353    
365.5000      	27359.7811    	2719.72729    
366.0000      	27322.4044    	2737.90918    
366.5000      	27285.1296    	2664.72729    
367.0000      	27247.9564    	2637.00000    
367.5000      	27210.8844    	2966.45459    
368.0000      	27173.9130    	2627.63647    
368.5000      	27137.0421    	2971.27271    
369.0000      	27100.2710    	2601.45459    
369.5000      	27063.5995    	2576.81812    
370.0000      	27027.0270    	2993.54541    
370.5000      	26990.5533    	2388.00000    
371.0000      	26954.1779    	2693.54541    
371.5000      	26917.9004    	2482.54541    
372.0000      	26881.7204    	2531.27271    
372.5000      	26845.6376    	2726.63647    
373.0000      	26809.6515    	2508.00000    
373.5000      	26773.7617    	2734.81812    
374.0000      	26737.9679    	3021.36353    
374.5000      	26702.2697    	2689.54541    
375.0000      	26666.6667    	2521.36353    
375.5000      	26631.1585    	2677.45459    
376.0000      	26595.7447    	2635.18188    
376.5000      	26560.4250    	2458.00000    
377.0000      	26525.1989    	2673.54541    
377.5000      	26490.0662    	2657.36353    
378.0000      	26455.0265    	2576.90918    
378.5000      	26420.0793    	2621.09082    
379.0000      	26385.2243    	2647.54541    
379.5000      	26350.4611    	2664.09082    
380.0000      	26315.7895    	2514.81812    
380.5000      	26281.2089    	2581.45459    
381.0000      	26246.7192    	2600.45459    
381.5000      	26212.3198    	2472.09082    
382.0000      	26178.0105    	2668.63647    
382.5000      	26143.7908    	2757.00000    
383.0000      	26109.6606    	2756.45459    
383.5000      	26075.6193    	2591.27271    
384.0000      	26041.6667    	3048.00000    
384.5000      	26007.8023    	2564.18188    
385.0000      	25974.0260    	2542.81812    
385.5000      	25940.3372    	2510.00000    
386.0000      	25906.7358    	2394.81812    
386.5000      	25873.2212    	2613.27271    
387.0000      	25839.7933    	2713.72729    
387.5000      	25806.4516    	2523.72729    
388.0000      	25773.1959    	2720.27271    
388.5000      	25740.0257    	2669.00000    
389.0000      	25706.9409    	2603.27271    
389.5000      	25673.9409    	2758.81812    
390.0000      	25641.0256    	2634.90918    
390.5000      	25608.1946    	2605.81812    
391.0000      	25575.4476    	2644.18188    
391.5000      	25542.7842    	2923.00000    
392.0000      	25510.2041    	2524.45459    
392.5000      	25477.7070    	2497.63647    
393.0000      	25445.2926    	2783.72729    
393.5000      	25412.9606    	2483.09082    
394.0000      	25380.7107    	2921.00000    
394.5000      	25348.5425    	2504.45459    
395.0000      	25316.4557    	2717.36353    
395.5000      	25284.4501    	2631.36353    
396.0000      	25252.5253    	2958.09082    
396.5000      	25220.6810    	2657.18188    
397.0000      	25188.9169    	2769.72729    
397.5000      	25157.2327    	2740.36353    
398.0000      	25125.6281    	2686.18188    
398.5000      	25094.1029    	2523.81812    
399.0000      	25062.6566    	2772.36353    
399.5000      	25031.2891    	2937.72729    
400.0000      	25000.0000    	2782.36353    
400.5000      	24968.7890    	2567.36353    
401.0000      	24937.6559    	2543.45459    
401.5000      	24906.6002    	2762.27271    
402.0000      	24875.6219    	2781.63647    
402.5000      	24844.7205    	2713.72729    
403.0000      	24813.8958    	2365.90918    
403.5000      	24783.1475    	2617.81812    
404.0000      	24752.4752    	2664.45459    
404.5000      	24721.8789    	2916.27271    
405.0000      	24691.3580    	2688.00000    
405.5000      	24660.9125    	2569.18188    
406.0000      	24630.5419    	2510.09082    
406.5000      	24600.2460    	2492.63647    
407.0000      	24570.0246    	2726.72729    
407.5000      	24539.8773    	2480.00000    
408.0000      	24509.8039    	2418.00000    
408.5000      	24479.8042    	2454.72729    
409.0000      	24449.8778    	2421.72729    
409.5000      	24420.0244    	2659.36353    
410.0000      	24390.2439    	2632.90918    
410.5000      	24360.5359    	2763.90918    
411.0000      	24330.9002    	2746.45459    
411.5000      	24301.3366    	2725.81812    
412.0000      	24271.8447    	2829.63647    
412.5000      	24242.4242    	2518.00000    
413.0000      	24213.0751    	2814.63647    
413.5000      	24183.7969    	2685.18188    
414.0000      	24154.5894    	2580.36353    
414.5000      	24125.4524    	2503.36353    
415.0000      	24096.3855    	2392.09082    
415.5000      	24067.3887    	2440.81812    
416.0000      	24038.4615    	2749.90918    
416.5000      	24009.6038    	2734.18188    
417.0000      	23980.8153    	2556.45459    
417.5000      	23952.0958    	2450.45459    
418.0000      	23923.4450    	2728.72729    
418.5000      	23894.8626    	2645.81812    
419.0000      	23866.3484    	2678.81812    
419.5000      	23837.9023    	2512.27271    
420.0000      	23809.5238    	2626.81812    
420.5000      	23781.2128    	2591.36353    
421.0000      	23752.9691    	2542.18188    
421.5000      	23724.7924    	2515.00000    
422.0000      	23696.6825    	2733.63647    
422.5000      	23668.6391    	2633.45459    
423.0000      	23640.6619    	2704.36353    
423.5000      	23612.7509    	2468.81812    
424.0000      	23584.9057    	2658.09082    
424.5000      	23557.1260    	2879.27271    
425.0000      	23529.4118    	2495.45459    
425.5000      	23501.7626    	2337.81812    
426.0000      	23474.1784    	2515.27271    
426.5000      	23446.6589    	2513.72729    
427.0000      	23419.2037    	2599.27271    
427.5000      	23391.8129    	2602.63647    
428.0000      	23364.4860    	2505.27271    
428.5000      	23337.2229    	2555.00000    
429.0000      	23310.0233    	3003.45459    
