Unit Serial No : 240-LV0P465-EU
Integration Time : 240 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:13:18

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
350.0000      	28571.4286    	2954.54541    
350.5000      	28530.6705    	2869.45459    
351.0000      	28490.0285    	2803.18188    
351.5000      	28449.5021    	2898.90918    
352.0000      	28409.0909    	2760.18188    
352.5000      	28368.7943    	2773.09082    
353.0000      	28328.6119    	2589.54541    
353.5000      	28288.5431    	2812.72729    
354.0000      	28248.5876    	2423.36353    
354.5000      	28208.7447    	2443.18188    
355.0000      	28169.0141    	2627.00000    
355.5000      	28129.3952    	2678.27271    
356.0000      	28089.8876    	2226.90918    
356.5000      	28050.4909    	2539.72729    
357.0000      	28011.2045    	2431.90918    
357.5000      	27972.0280    	2550.90918    
358.0000      	27932.9609    	2609.00000    
358.5000      	27894.0028    	3213.27271    
359.0000      	27855.1532    	2574.27271    
359.5000      	27816.4117    	2745.09082    
360.0000      	27777.7778    	2577.27271    
360.5000      	27739.2510    	2665.45459    
361.0000      	27700.8310    	2611.54541    
361.5000      	27662.5173    	3041.63647    
362.0000      	27624.3094    	2697.63647    
362.5000      	27586.2069    	2884.90918    
363.0000      	27548.2094    	2935.36353    
363.5000      	27510.3164    	2515.54541    
364.0000      	27472.5275    	2230.09082    
364.5000      	27434.8422    	2400.27271    
365.0000      	27397.2603    	2523.81812    
365.5000      	27359.7811    	2784.36353    
366.0000      	27322.4044    	2821.27271    
366.5000      	27285.1296    	2666.72729    
367.0000      	27247.9564    	2636.54541    
367.5000      	27210.8844    	3066.45459    
368.0000      	27173.9130    	2604.90918    
368.5000      	27137.0421    	3084.45459    
369.0000      	27100.2710    	2628.81812    
369.5000      	27063.5995    	2607.27271    
370.0000      	27027.0270    	3033.00000    
370.5000      	26990.5533    	2337.63647    
371.0000      	26954.1779    	2745.81812    
371.5000      	26917.9004    	2464.36353    
372.0000      	26881.7204    	2527.45459    
372.5000      	26845.6376    	2756.00000    
373.0000      	26809.6515    	2499.36353    
373.5000      	26773.7617    	2775.63647    
374.0000      	26737.9679    	3129.36353    
374.5000      	26702.2697    	2661.54541    
375.0000      	26666.6667    	2520.18188    
375.5000      	26631.1585    	2663.72729    
376.0000      	26595.7447    	2633.81812    
376.5000      	26560.4250    	2439.81812    
377.0000      	26525.1989    	2687.63647    
377.5000      	26490.0662    	2695.90918    
378.0000      	26455.0265    	2586.90918    
378.5000      	26420.0793    	2647.36353    
379.0000      	26385.2243    	2610.54541    
379.5000      	26350.4611    	2652.45459    
380.0000      	26315.7895    	2544.09082    
380.5000      	26281.2089    	2610.45459    
381.0000      	26246.7192    	2621.18188    
381.5000      	26212.3198    	2434.27271    
382.0000      	26178.0105    	2674.18188    
382.5000      	26143.7908    	2800.18188    
383.0000      	26109.6606    	2867.54541    
383.5000      	26075.6193    	2560.00000    
384.0000      	26041.6667    	3118.18188    
384.5000      	26007.8023    	2554.54541    
385.0000      	25974.0260    	2569.45459    
385.5000      	25940.3372    	2532.72729    
386.0000      	25906.7358    	2363.36353    
386.5000      	25873.2212    	2647.09082    
387.0000      	25839.7933    	2672.90918    
387.5000      	25806.4516    	2521.72729    
388.0000      	25773.1959    	2792.18188    
388.5000      	25740.0257    	2657.36353    
389.0000      	25706.9409    	2606.18188    
389.5000      	25673.9409    	2736.18188    
390.0000      	25641.0256    	2608.72729    
390.5000      	25608.1946    	2565.18188    
391.0000      	25575.4476    	2665.00000    
391.5000      	25542.7842    	2980.54541    
392.0000      	25510.2041    	2518.81812    
392.5000      	25477.7070    	2468.81812    
393.0000      	25445.2926    	2760.36353    
393.5000      	25412.9606    	2419.72729    
394.0000      	25380.7107    	3019.18188    
394.5000      	25348.5425    	2460.36353    
395.0000      	25316.4557    	2762.27271    
395.5000      	25284.4501    	2649.27271    
396.0000      	25252.5253    	3030.45459    
396.5000      	25220.6810    	2650.54541    
397.0000      	25188.9169    	2840.09082    
397.5000      	25157.2327    	2793.63647    
398.0000      	25125.6281    	2704.09082    
398.5000      	25094.1029    	2476.18188    
399.0000      	25062.6566    	2754.90918    
399.5000      	25031.2891    	3002.18188    
400.0000      	25000.0000    	2868.90918    
400.5000      	24968.7890    	2584.09082    
401.0000      	24937.6559    	2532.18188    
401.5000      	24906.6002    	2787.90918    
402.0000      	24875.6219    	2805.36353    
402.5000      	24844.7205    	2727.81812    
