Unit Serial No : 240-LV0P465-EU
Integration Time : 60 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:23:23

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
350.0000      	28571.4286    	1576.45459    
350.5000      	28530.6705    	1555.36365    
351.0000      	28490.0285    	1531.72729    
351.5000      	28449.5021    	1541.27271    
352.0000      	28409.0909    	1506.00000    
352.5000      	28368.7943    	1514.18176    
353.0000      	28328.6119    	1478.63635    
353.5000      	28288.5431    	1544.54541    
354.0000      	28248.5876    	1436.45459    
354.5000      	28208.7447    	1426.00000    
355.0000      	28169.0141    	1466.81824    
355.5000      	28129.3952    	1503.54541    
356.0000      	28089.8876    	1397.54541    
356.5000      	28050.4909    	1478.18176    
357.0000      	28011.2045    	1463.72729    
357.5000      	27972.0280    	1451.72729    
358.0000      	27932.9609    	1475.72729    
358.5000      	27894.0028    	1642.36365    
359.0000      	27855.1532    	1498.45459    
359.5000      	27816.4117    	1527.00000    
360.0000      	27777.7778    	1455.72729    
360.5000      	27739.2510    	1474.81824    
361.0000      	27700.8310    	1489.90906    
361.5000      	27662.5173    	1591.90906    
362.0000      	27624.3094    	1533.18176    
362.5000      	27586.2069    	1564.45459    
363.0000      	27548.2094    	1562.90906    
363.5000      	27510.3164    	1444.81824    
364.0000      	27472.5275    	1391.27271    
364.5000      	27434.8422    	1439.90906    
365.0000      	27397.2603    	1476.09094    
365.5000      	27359.7811    	1523.81824    
366.0000      	27322.4044    	1508.27271    
366.5000      	27285.1296    	1486.72729    
367.0000      	27247.9564    	1488.45459    
367.5000      	27210.8844    	1614.54541    
368.0000      	27173.9130    	1489.81824    
368.5000      	27137.0421    	1588.27271    
369.0000      	27100.2710    	1485.27271    
369.5000      	27063.5995    	1491.00000    
370.0000      	27027.0270    	1604.45459    
370.5000      	26990.5533    	1423.00000    
371.0000      	26954.1779    	1521.63635    
371.5000      	26917.9004    	1462.72729    
372.0000      	26881.7204    	1470.09094    
372.5000      	26845.6376    	1545.90906    
373.0000      	26809.6515    	1460.36365    
373.5000      	26773.7617    	1523.09094    
374.0000      	26737.9679    	1586.63635    
374.5000      	26702.2697    	1491.09094    
375.0000      	26666.6667    	1443.63635    
375.5000      	26631.1585    	1506.18176    
376.0000      	26595.7447    	1507.90906    
376.5000      	26560.4250    	1426.81824    
377.0000      	26525.1989    	1496.09094    
377.5000      	26490.0662    	1526.36365    
378.0000      	26455.0265    	1485.81824    
378.5000      	26420.0793    	1487.54541    
379.0000      	26385.2243    	1490.81824    
379.5000      	26350.4611    	1499.36365    
380.0000      	26315.7895    	1476.18176    
380.5000      	26281.2089    	1475.81824    
381.0000      	26246.7192    	1505.36365    
381.5000      	26212.3198    	1467.81824    
382.0000      	26178.0105    	1500.54541    
382.5000      	26143.7908    	1540.18176    
383.0000      	26109.6606    	1533.09094    
383.5000      	26075.6193    	1467.63635    
384.0000      	26041.6667    	1618.00000    
384.5000      	26007.8023    	1478.63635    
385.0000      	25974.0260    	1453.81824    
385.5000      	25940.3372    	1457.45459    
386.0000      	25906.7358    	1428.45459    
386.5000      	25873.2212    	1479.18176    
387.0000      	25839.7933    	1500.63635    
387.5000      	25806.4516    	1448.00000    
388.0000      	25773.1959    	1520.18176    
388.5000      	25740.0257    	1474.81824    
389.0000      	25706.9409    	1485.45459    
389.5000      	25673.9409    	1509.72729    
390.0000      	25641.0256    	1485.72729    
390.5000      	25608.1946    	1482.45459    
391.0000      	25575.4476    	1507.54541    
391.5000      	25542.7842    	1585.54541    
392.0000      	25510.2041    	1457.09094    
392.5000      	25477.7070    	1451.18176    
393.0000      	25445.2926    	1540.18176    
393.5000      	25412.9606    	1424.09094    
394.0000      	25380.7107    	1569.72729    
394.5000      	25348.5425    	1440.81824    
395.0000      	25316.4557    	1532.81824    
395.5000      	25284.4501    	1501.09094    
396.0000      	25252.5253    	1619.00000    
396.5000      	25220.6810    	1478.45459    
397.0000      	25188.9169    	1527.63635    
397.5000      	25157.2327    	1515.45459    
398.0000      	25125.6281    	1514.18176    
398.5000      	25094.1029    	1451.81824    
399.0000      	25062.6566    	1521.18176    
399.5000      	25031.2891    	1585.81824    
400.0000      	25000.0000    	1537.09094    
400.5000      	24968.7890    	1454.45459    
401.0000      	24937.6559    	1494.09094    
401.5000      	24906.6002    	1528.18176    
402.0000      	24875.6219    	1602.18176    
402.5000      	24844.7205    	1512.09094    
403.0000      	24813.8958    	1384.54541    
403.5000      	24783.1475    	1493.63635    
404.0000      	24752.4752    	1507.81824    
404.5000      	24721.8789    	1576.63635    
405.0000      	24691.3580    	1505.18176    
405.5000      	24660.9125    	1466.27271    
406.0000      	24630.5419    	1458.36365    
406.5000      	24600.2460    	1454.27271    
407.0000      	24570.0246    	1514.45459    
407.5000      	24539.8773    	1462.09094    
408.0000      	24509.8039    	1432.54541    
408.5000      	24479.8042    	1438.27271    
409.0000      	24449.8778    	1445.63635    
409.5000      	24420.0244    	1501.27271    
410.0000      	24390.2439    	1499.18176    
410.5000      	24360.5359    	1577.45459    
411.0000      	24330.9002    	1517.18176    
411.5000      	24301.3366    	1516.45459    
412.0000      	24271.8447    	1558.72729    
412.5000      	24242.4242    	1469.18176    
413.0000      	24213.0751    	1545.90906    
413.5000      	24183.7969    	1503.63635    
