Unit Serial No : 240-LV0P465-EU
Integration Time : 60 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:20:02

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
350.0000      	28571.4286    	1573.18176    
350.5000      	28530.6705    	1552.00000    
351.0000      	28490.0285    	1546.81824    
351.5000      	28449.5021    	1555.54541    
352.0000      	28409.0909    	1525.63635    
352.5000      	28368.7943    	1512.90906    
353.0000      	28328.6119    	1486.00000    
353.5000      	28288.5431    	1552.18176    
354.0000      	28248.5876    	1439.00000    
354.5000      	28208.7447    	1441.90906    
355.0000      	28169.0141    	1476.18176    
355.5000      	28129.3952    	1521.27271    
356.0000      	28089.8876    	1415.90906    
356.5000      	28050.4909    	1475.54541    
357.0000      	28011.2045    	1464.18176    
357.5000      	27972.0280    	1494.27271    
358.0000      	27932.9609    	1488.63635    
358.5000      	27894.0028    	1646.63635    
359.0000      	27855.1532    	1493.54541    
359.5000      	27816.4117    	1538.18176    
360.0000      	27777.7778    	1502.45459    
360.5000      	27739.2510    	1501.90906    
361.0000      	27700.8310    	1497.00000    
361.5000      	27662.5173    	1585.27271    
362.0000      	27624.3094    	1529.27271    
362.5000      	27586.2069    	1574.81824    
363.0000      	27548.2094    	1570.09094    
363.5000      	27510.3164    	1459.09094    
364.0000      	27472.5275    	1386.63635    
364.5000      	27434.8422    	1439.27271    
365.0000      	27397.2603    	1464.09094    
365.5000      	27359.7811    	1535.63635    
366.0000      	27322.4044    	1548.18176    
366.5000      	27285.1296    	1536.36365    
367.0000      	27247.9564    	1530.27271    
367.5000      	27210.8844    	1608.81824    
368.0000      	27173.9130    	1501.09094    
368.5000      	27137.0421    	1612.63635    
369.0000      	27100.2710    	1499.81824    
369.5000      	27063.5995    	1494.36365    
370.0000      	27027.0270    	1591.18176    
370.5000      	26990.5533    	1429.54541    
371.0000      	26954.1779    	1532.45459    
371.5000      	26917.9004    	1463.18176    
372.0000      	26881.7204    	1475.45459    
372.5000      	26845.6376    	1546.63635    
373.0000      	26809.6515    	1474.54541    
373.5000      	26773.7617    	1542.63635    
374.0000      	26737.9679    	1613.90906    
374.5000      	26702.2697    	1516.09094    
375.0000      	26666.6667    	1452.09094    
375.5000      	26631.1585    	1516.90906    
376.0000      	26595.7447    	1502.54541    
376.5000      	26560.4250    	1444.45459    
377.0000      	26525.1989    	1516.45459    
377.5000      	26490.0662    	1537.90906    
378.0000      	26455.0265    	1487.63635    
